[23:56:12][pdx_assert.cpp:628]: Assertion failed: Coastal building in non coastal states, check it out From state Odisha (452) To State Dutch Orissa (453) (?)

[23:56:16][initializefrombookmark.cpp:1373]: Historical diplomatic pact embargo between TUR and MON cannot be maintained and will break soon
[23:56:16][initializefrombookmark.cpp:1373]: Historical diplomatic pact vassal between PAN and KAS cannot be maintained and will break soon
[23:56:17][country_law_manager.cpp:444]: Country dyn_c_grand_duchy_of_finland is not permitted to retain law Tenant Farmers, fix this or consider Homesteading instead
[23:56:17][country_law_manager.cpp:444]: Country dyn_c_hanover is not permitted to retain law No Colonial Affairs, fix this or consider Colonial Resettlement instead
[23:56:17][country_law_manager.cpp:444]: Country ION is not permitted to retain law No Colonial Affairs, fix this or consider Colonial Resettlement instead
[23:56:17][country_law_manager.cpp:444]: Country dyn_c_lower_canada is not permitted to retain law No Colonial Affairs, fix this or consider Colonial Resettlement instead
[23:56:17][country_law_manager.cpp:444]: Country dyn_c_upper_canada is not permitted to retain law No Colonial Affairs, fix this or consider Colonial Resettlement instead
[23:56:17][country_law_manager.cpp:444]: Country NBS is not permitted to retain law No Colonial Affairs, fix this or consider Colonial Resettlement instead
[23:56:17][country_law_manager.cpp:444]: Country NVS is not permitted to retain law No Colonial Affairs, fix this or consider Colonial Resettlement instead
[23:56:17][country_law_manager.cpp:444]: Country dyn_c_baltic_governorate is not permitted to retain law Tenant Farmers, fix this or consider Homesteading instead
[23:56:17][country_law_manager.cpp:444]: Country KZH is not permitted to retain law Subjecthood, fix this or consider National Supremacy instead
[23:56:17][country_law_manager.cpp:444]: Country KZH is not permitted to retain law Hereditary Bureaucrats, fix this or consider Appointed Bureaucrats instead
[23:56:17][country_law_manager.cpp:444]: Country KZH is not permitted to retain law Serfdom, fix this or consider Homesteading instead
[23:56:17][country_law_manager.cpp:444]: Country KZH is not permitted to retain law Right of Assembly, fix this or consider Glasnost instead
[23:56:17][country_law_manager.cpp:444]: Country UZH is not permitted to retain law Subjecthood, fix this or consider National Supremacy instead
[23:56:17][country_law_manager.cpp:444]: Country UZH is not permitted to retain law Hereditary Bureaucrats, fix this or consider Appointed Bureaucrats instead
[23:56:17][country_law_manager.cpp:444]: Country UZH is not permitted to retain law Serfdom, fix this or consider Homesteading instead
[23:56:17][country_law_manager.cpp:444]: Country UZH is not permitted to retain law Right of Assembly, fix this or consider Glasnost instead
[23:56:17][country_law_manager.cpp:444]: Country OZH is not permitted to retain law Subjecthood, fix this or consider National Supremacy instead
[23:56:17][country_law_manager.cpp:444]: Country OZH is not permitted to retain law Hereditary Bureaucrats, fix this or consider Appointed Bureaucrats instead
[23:56:17][country_law_manager.cpp:444]: Country OZH is not permitted to retain law Serfdom, fix this or consider Homesteading instead
[23:56:17][country_law_manager.cpp:444]: Country OZH is not permitted to retain law Right of Assembly, fix this or consider Glasnost instead
[23:56:17][country_law_manager.cpp:444]: Country company_russian_american_company is not permitted to retain law Subjecthood, fix this or consider National Supremacy instead
[23:56:17][country_law_manager.cpp:444]: Country company_russian_american_company is not permitted to retain law Hereditary Bureaucrats, fix this or consider Appointed Bureaucrats instead
[23:56:17][country_law_manager.cpp:444]: Country company_russian_american_company is not permitted to retain law Tenant Farmers, fix this or consider Homesteading instead
[23:56:17][country_law_manager.cpp:444]: Country company_east_india_company is not permitted to retain law No Colonial Affairs, fix this or consider Colonial Resettlement instead
[23:56:17][country_law_manager.cpp:444]: Country dyn_c_south_africa is not permitted to retain law No Colonial Affairs, fix this or consider Frontier Colonization instead
[23:56:17][country_law_manager.cpp:444]: Country dyn_c_british_west_africa is not permitted to retain law No Colonial Affairs, fix this or consider Frontier Colonization instead
[23:56:17][country_law_manager.cpp:444]: Country SAS is not permitted to retain law No Colonial Affairs, fix this or consider Frontier Colonization instead
[23:56:17][country_law_manager.cpp:444]: Country dyn_c_van_diemans_land is not permitted to retain law No Colonial Affairs, fix this or consider Frontier Colonization instead
