[14:57:57][jominiapplication.cpp:539]: ================ Load Saved Game ================
[14:57:57][jominiapplication.cpp:539]: Are you sure you want to proceed?
[14:57:57][jominiapplication.cpp:539]: =================================================
[14:58:03][jominiapplication.cpp:539]: Changing game speed to: 2
[14:58:06][jominiapplication.cpp:539]: Hosting Game...
[14:58:06][jominiapplication.cpp:539]: Pause Toggled! Paused: true, PlayerID: 0
[14:58:06][jominiapplication.cpp:539]: Pause Toggled! Paused: true, PlayerID: 0
[14:58:08][jominiapplication.cpp:539]: Server Name: Game of ErringMelkor
[14:58:08][jominiapplication.cpp:539]: Server ID: a63e9ed4-0767-4e38-989b-f8f4bef9c6bd.nakama-0
[15:08:31][jominiapplication.cpp:539]: ================ Player joined ================
[15:08:31][jominiapplication.cpp:539]: Nicol64pa joined the Game.
[15:08:31][jominiapplication.cpp:539]: ===============================================
[15:08:31][jominiapplication.cpp:539]: Using Random Log: True
[15:08:31][jominiapplication.cpp:539]: Using Hard Check: False
[15:12:04][jominiapplication.cpp:539]: Pause Toggled! Paused: false, PlayerID: 0
[15:12:04][jominiapplication.cpp:539]: Processing Tick: 1869.11.7
[15:12:04][jominiapplication.cpp:539]: Processing Tick: 1869.11.7.6
[15:12:05][jominiapplication.cpp:539]: Processing Tick: 1869.11.7.12
[15:12:05][jominiapplication.cpp:539]: Processing Tick: 1869.11.7.18
[15:12:06][jominiapplication.cpp:539]: Processing Tick: 1869.11.8
[15:12:06][jominiapplication.cpp:539]: Processing Tick: 1869.11.8.6
[15:12:07][jominiapplication.cpp:539]: Processing Tick: 1869.11.8.12
[15:12:07][jominiapplication.cpp:539]: Processing Tick: 1869.11.8.18
[15:12:08][jominiapplication.cpp:539]: Processing Tick: 1869.11.9
[15:12:09][jominiapplication.cpp:539]: Processing Tick: 1869.11.9.6
[15:12:09][jominiapplication.cpp:539]: Processing Tick: 1869.11.9.12
[15:12:09][jominiapplication.cpp:539]: Processing Tick: 1869.11.9.18
[15:12:10][jominiapplication.cpp:539]: Processing Tick: 1869.11.10
[15:12:10][jominiapplication.cpp:539]: Processing Tick: 1869.11.10.6
[15:12:11][jominiapplication.cpp:539]: Processing Tick: 1869.11.10.12
[15:12:11][jominiapplication.cpp:539]: Processing Tick: 1869.11.10.18
[15:12:12][jominiapplication.cpp:539]: Processing Tick: 1869.11.11
[15:12:12][jominiapplication.cpp:539]: Processing Tick: 1869.11.11.6
[15:12:13][jominiapplication.cpp:539]: Processing Tick: 1869.11.11.12
[15:12:13][jominiapplication.cpp:539]: Processing Tick: 1869.11.11.18
[15:12:14][jominiapplication.cpp:539]: Processing Tick: 1869.11.12
[15:12:15][jominiapplication.cpp:539]: Processing Tick: 1869.11.12.6
[15:12:15][jominiapplication.cpp:539]: Processing Tick: 1869.11.12.12
[15:12:16][jominiapplication.cpp:539]: Processing Tick: 1869.11.12.18
[15:12:16][jominiapplication.cpp:539]: Processing Tick: 1869.11.13
[15:12:17][jominiapplication.cpp:539]: Processing Tick: 1869.11.13.6
[15:12:17][jominiapplication.cpp:539]: Processing Tick: 1869.11.13.12
[15:12:18][jominiapplication.cpp:539]: Processing Tick: 1869.11.13.18
[15:12:18][jominiapplication.cpp:539]: Processing Tick: 1869.11.14
[15:12:18][jominiapplication.cpp:539]: Changing game speed to: 3
[15:12:18][jominiapplication.cpp:539]: Processing Tick: 1869.11.14.6
[15:12:19][jominiapplication.cpp:539]: Processing Tick: 1869.11.14.12
[15:12:19][jominiapplication.cpp:539]: Processing Tick: 1869.11.14.18
[15:12:19][jominiapplication.cpp:539]: Processing Tick: 1869.11.15
[15:12:20][jominiapplication.cpp:539]: Processing Tick: 1869.11.15.6
[15:12:20][jominiapplication.cpp:539]: Processing Tick: 1869.11.15.12
[15:12:20][jominiapplication.cpp:539]: Processing Tick: 1869.11.15.18
[15:12:20][jominiapplication.cpp:539]: Processing Tick: 1869.11.16
[15:12:21][jominiapplication.cpp:539]: Processing Tick: 1869.11.16.6
[15:12:21][jominiapplication.cpp:539]: Processing Tick: 1869.11.16.12
[15:12:21][jominiapplication.cpp:539]: Processing Tick: 1869.11.16.18
[15:12:21][jominiapplication.cpp:539]: Processing Tick: 1869.11.17
[15:12:22][jominiapplication.cpp:539]: Processing Tick: 1869.11.17.6
[15:12:22][jominiapplication.cpp:539]: Processing Tick: 1869.11.17.12
[15:12:22][jominiapplication.cpp:539]: Processing Tick: 1869.11.17.18
[15:12:22][jominiapplication.cpp:539]: Processing Tick: 1869.11.18
[15:12:23][jominiapplication.cpp:539]: Processing Tick: 1869.11.18.6
[15:12:23][jominiapplication.cpp:539]: Processing Tick: 1869.11.18.12
[15:12:24][jominiapplication.cpp:539]: Processing Tick: 1869.11.18.18
[15:12:24][jominiapplication.cpp:539]: Processing Tick: 1869.11.19
[15:12:24][jominiapplication.cpp:539]: Processing Tick: 1869.11.19.6
[15:12:25][jominiapplication.cpp:539]: Processing Tick: 1869.11.19.12
[15:12:25][jominiapplication.cpp:539]: Processing Tick: 1869.11.19.18
[15:12:25][jominiapplication.cpp:539]: Processing Tick: 1869.11.20
[15:12:25][jominiapplication.cpp:539]: Processing Tick: 1869.11.20.6
[15:12:26][jominiapplication.cpp:539]: Processing Tick: 1869.11.20.12
[15:12:26][jominiapplication.cpp:539]: Processing Tick: 1869.11.20.18
[15:12:26][jominiapplication.cpp:539]: Processing Tick: 1869.11.21
[15:12:27][jominiapplication.cpp:539]: Processing Tick: 1869.11.21.6
[15:12:27][jominiapplication.cpp:539]: Processing Tick: 1869.11.21.12
[15:12:27][jominiapplication.cpp:539]: Processing Tick: 1869.11.21.18
[15:12:27][jominiapplication.cpp:539]: Processing Tick: 1869.11.22
[15:12:28][jominiapplication.cpp:539]: Processing Tick: 1869.11.22.6
[15:12:28][jominiapplication.cpp:539]: Processing Tick: 1869.11.22.12
[15:12:28][jominiapplication.cpp:539]: Processing Tick: 1869.11.22.18
[15:12:28][jominiapplication.cpp:539]: Processing Tick: 1869.11.23
[15:12:29][jominiapplication.cpp:539]: Processing Tick: 1869.11.23.6
[15:12:29][jominiapplication.cpp:539]: Processing Tick: 1869.11.23.12
[15:12:29][jominiapplication.cpp:539]: Processing Tick: 1869.11.23.18
[15:12:29][jominiapplication.cpp:539]: Processing Tick: 1869.11.24
[15:12:30][jominiapplication.cpp:539]: Processing Tick: 1869.11.24.6
[15:12:30][jominiapplication.cpp:539]: Processing Tick: 1869.11.24.12
[15:12:31][jominiapplication.cpp:539]: Processing Tick: 1869.11.24.18
[15:12:31][jominiapplication.cpp:539]: Processing Tick: 1869.11.25
[15:12:31][jominiapplication.cpp:539]: Processing Tick: 1869.11.25.6
[15:12:31][jominiapplication.cpp:539]: Processing Tick: 1869.11.25.12
[15:12:32][jominiapplication.cpp:539]: Processing Tick: 1869.11.25.18
[15:12:32][jominiapplication.cpp:539]: Processing Tick: 1869.11.26
[15:12:32][jominiapplication.cpp:539]: Processing Tick: 1869.11.26.6
[15:12:33][jominiapplication.cpp:539]: Processing Tick: 1869.11.26.12
[15:12:33][jominiapplication.cpp:539]: Processing Tick: 1869.11.26.18
[15:12:33][jominiapplication.cpp:539]: Processing Tick: 1869.11.27
[15:12:34][jominiapplication.cpp:539]: Processing Tick: 1869.11.27.6
[15:12:34][jominiapplication.cpp:539]: Processing Tick: 1869.11.27.12
[15:12:34][jominiapplication.cpp:539]: Processing Tick: 1869.11.27.18
[15:12:35][jominiapplication.cpp:539]: Processing Tick: 1869.11.28
[15:12:35][jominiapplication.cpp:539]: Processing Tick: 1869.11.28.6
[15:12:35][jominiapplication.cpp:539]: Processing Tick: 1869.11.28.12
[15:12:35][jominiapplication.cpp:539]: Processing Tick: 1869.11.28.18
[15:12:36][jominiapplication.cpp:539]: Processing Tick: 1869.11.29
[15:12:36][jominiapplication.cpp:539]: Processing Tick: 1869.11.29.6
[15:12:36][jominiapplication.cpp:539]: Processing Tick: 1869.11.29.12
[15:12:36][jominiapplication.cpp:539]: Processing Tick: 1869.11.29.18
[15:12:37][jominiapplication.cpp:539]: Processing Tick: 1869.11.30
[15:12:37][jominiapplication.cpp:539]: Processing Tick: 1869.11.30.6
[15:12:37][jominiapplication.cpp:539]: Processing Tick: 1869.11.30.12
[15:12:38][jominiapplication.cpp:539]: Processing Tick: 1869.11.30.18
[15:12:38][jominiapplication.cpp:539]: Processing Tick: 1869.12.1
[15:12:39][jominiapplication.cpp:539]: Processing Tick: 1869.12.1.6
[15:12:40][jominiapplication.cpp:539]: Processing Tick: 1869.12.1.12
[15:12:40][jominiapplication.cpp:539]: Processing Tick: 1869.12.1.18
[15:12:40][jominiapplication.cpp:539]: Processing Tick: 1869.12.2
[15:12:40][jominiapplication.cpp:539]: Processing Tick: 1869.12.2.6
[15:12:41][jominiapplication.cpp:539]: Processing Tick: 1869.12.2.12
[15:12:41][jominiapplication.cpp:539]: Processing Tick: 1869.12.2.18
